pid,model,situation,prompt,rec_city1,rec_reasons1,rec_city2,rec_reasons2,rec_city3,rec_reasons3,rec_city4,rec_reasons4,rec_city5,rec_reasons5
28,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf courses;Arts and culture,Sarasota,Beaches;Cultural attractions;Healthcare facilities,The Villages,Golf courses;Retirement community;Amenities and activities,Port St. Lucie,Master-planned communities;Golf courses;Tax-friendly,Bonita Springs,Beaches;Golf courses;Low crime rates
29,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf courses;Arts and culture,Sarasota,Beaches;Cultural attractions;Affordable housing,The Villages,Golf courses;Retirement community;Amenities and activities,Port St. Lucie,Master-planned communities;Affordable housing;Golf courses,Bonita Springs,Beaches;Golf courses;Low crime rate
30,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Highest concentration of retirement communities in Florida;Gulf of Mexico beaches for recreation;Multiple art and cultural centers,Palm Coast,Affordable housing options;Large senior population;Extensive healthcare facilities,Sarasota,Upscale downtown with shopping and dining;Nearby barrier islands for leisure;Rich history and cultural attractions,The Villages,Designed specifically for active adults 55 and over;Wide range of housing options;Miles of walking trails and community centers,Port St. Lucie,Consistently ranked as one of the best places to retire;Tropical climate with mild winters;Easy access to both coasts and affordable cost of living
31,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
32,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
33,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Arts and Culture,Sarasota,Beaches;Cultural Attractions;Golf Courses,The Villages,Golf Courses;Retirement Community;Amenities,Port St. Lucie,Master Planned Communities;Golf Courses;Low Taxes,Bonita Springs,Beaches;Golf Courses;Low Crime Rate
34,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Low tax rates;Gated communities;Beach access,Sarasota,Arts and culture scene;Active retirement community;Proximity to healthcare facilities,The Villages,Beginner-friendly golf courses;Abundant social activities;Gated communities,Delray Beach,Beach access;Cultural attractions;Walkable downtown area,Venice,Waterfront living;Peaceful atmosphere;Proximity to Siesta Key Beach
35,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
36,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Low taxes;High number of retirement communities;Golf courses and country clubs,The Villages,High number of retirees;Active lifestyle communities;Lots of social and recreational activities,Sarasota,Beaches and cultural attractions;Quiet and safe neighborhoods;High number of retirees,Port St. Lucie,Affordable housing;Warm climate year-round;Close to beaches and other attractions,Bonita Springs,Low crime rates;Golf courses and recreational facilities;Close to healthcare services
37,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf courses;Arts and culture,Sarasota,Beaches;Cultural attractions;Affordable housing,The Villages,Golf courses;Retirement community;Amenities and activities,Port St. Lucie,Master-planned communities;Affordable housing;Golf courses,Bonita Springs,Beaches;Golf courses;Low crime rate
38,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,Beaches;Golf Courses;Cultural Scene,Sarasota,Beaches;Cultural Scene;Affordable Housing,The Villages,Golf Courses;Active Adult Communities;Low Taxes,Port St. Lucie,Master-Planned Communities;Affordable Housing;No State Income Tax,St. Petersburg,Beaches;Cultural Scene;Walkable Downtown
39,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Naples,High-end retirement communities;Access to Gulf of Mexico beaches;Strong cultural scene and arts;Highly ranked hospitals nearby,Sarasota,Attractive waterfront neighborhoods;Quality healthcare facilities;Lively arts and entertainment scene;Easy access to sports and outdoor activities,St. Petersburg,Growing community for retirees;Robust cultural scene;Vibrant downtown area;Close proximity to Tampa for big-city amenities,Delray Beach,Variety of retirement communities;Beautiful beaches and parks;Good selection of medical facilities;Friendly retirement community and lifestyle,Cape Coral,Retirement-focused neighborhoods;Direct access to Gulf of Mexico;Affordable housing options;Overall high quality of life
40,mistral,relocation,We are moving to Florida. We are looking for communities who are at their retirement age,Sarasota,Beach access;Arts and culture;Mid-sized city,Naples,Beach access;Low crime rates;Golfing opportunities,The Villages,Retirement community focus;Affordable housing;Tons of amenities,St. Augustine,Historic district;Pleasant climate;Walkable downtown,Vero Beach,Beach access;Affordable cost of living;Less traffic congestion
41,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Growing job market;Historical sites,Toledo,Low cost of living;Cultural diversity;Educational opportunities,Lima,Affordable housing;Sense of community;Historical landmarks,Mansfield,Affordable cost of living;Arts and culture scene;Close to major cities,Youngstown,Affordable housing;Historical significance;Growing local economy
42,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
43,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Rich history and culture;Growing job market,Toledo,Low cost of living;Diverse arts and music scene;Close to Detroit and other major cities,Lima,Relatively low crime rates;Strong sense of community;Close to Lake Erie,Mansfield,Affordable housing and cost of living;Close to Amish country;Growing tech industry,Youngstown,Diverse cultural scene;Affordable housing and cost of living;Historic architecture
44,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
45,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Cincinnati,Affordable cost of living;Thriving arts and music scene;Strong job market,Columbus,Growing economy;High-quality educational institutions;Vibrant nightlife,Dayton,Historically rich;Affordable housing;Diverse cultural scene,Akron,Manufacturing hub;Lower cost of living;Multiple Fortune 500 companies,Toledo,Lower cost of living;Rising tech industry;Waterfront entertainment
46,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Strong job market in manufacturing and healthcare;Rich cultural scene,Cincinnati,Diverse economy with growth in tech and healthcare sectors;Abundant recreational opportunities nearby;Historic neighborhoods with affordable housing,Toledo,Access to Lake Erie for waterfront living and recreation;Lower cost of living compared to other major cities;Strong sense of community,Akron,Affordable living with a mix of urban and suburban areas;Home to the University of Akron and a vibrant arts scene;Strong job market in education and healthcare,Lima,Affordable housing and low cost of living;Close proximity to larger cities like Toledo and Columbus;Thriving small business community
47,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
48,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Diverse culture;Historic sites,Cincinnati,Job opportunities;Riverfront living;Arts and culture,Toledo,Low cost of living;Access to Lake Erie;Historical significance,Lima,Affordable housing;Close to universities;Rural charm,Mansfield,Historic downtown;Wine country nearby;Affordable cost of living
49,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Historic architecture;Cultural scene,Toledo,Affordable cost of living;Close to Lake Erie;Historical significance,Lima,Low cost of living;Safe and quiet neighborhoods;Access to education,Youngstown,Affordable housing market;Rich industrial history;Close to Pennsylvania,Mansfield,Affordable housing and cost of living;Proximity to major cities;Diverse communities
50,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
51,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
52,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Historic downtown;Strong job market,Toledo,Affordable living;Cultural attractions;Close to Lake Erie,Lima,Low cost of living;Growing job opportunities;Close to major cities,Mansfield,Affordable housing;Safe neighborhoods;Prosperous school systems,Lancaster,Affordable living;Rich history;Close to major cities
53,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
54,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable cost of living;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Affordable housing and low cost of living;Close proximity to Lake Erie for outdoor activities;Diverse economy with opportunities in education, healthcare, and manufacturing",Akron,Affordable housing and low cost of living;Strong job market in healthcare and education;Close proximity to major cities like Cleveland and Pittsburgh,Cincinnati,Affordable housing and low cost of living;Vibrant arts and culture scene;Strong job market in manufacturing and healthcare,Youngstown,Affordable cost of living;Close proximity to Pittsburgh for job opportunities;Rich history and cultural scene
55,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Rich industrial history;Home to Wright-Patterson Air Force Base,Cincinnati,Diverse economy;Home to the Cincinnati Reds;Cultural arts scene,Toledo,Inexpensive cost of living;Close to Lake Erie;Historically significant,Akron,Strong job market;Close to Cleveland for big city amenities;Home to the University of Akron,Youngstown,Affordable homes;Close to Pennsylvania for job opportunities;Historically significant in the steel industry
56,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Cincinnati,Growing job market;Low cost of living;Strong sports culture,Dayton,Diverse cultural scene;Historical significance;Affordable housing,Toledo,Proximity to Lake Erie;Thriving minor league sports;Robust manufacturing industry,Akron,Well-established education sector;Presence of several Fortune 500 companies;Connected via major highways,Youngstown,Rich industrial history;Growing arts and entertainment scene;Relative affordability compared to similar cities
57,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Dayton,Affordable housing;Strong job market in manufacturing and healthcare;Rich history and cultural scene,Toledo,"Low cost of living;Diverse economy with opportunities in education, healthcare, and manufacturing;Close to Lake Erie for outdoor activities",Akron,Affordable housing and cost of living;Growing tech industry and job opportunities;Home to the Akron Art Museum and Stan Hywet Hall and Gardens,Cincinnati,"Affordable housing and cost of living;Diverse economy with opportunities in manufacturing, healthcare, and education;Home to the Cincinnati Zoo and Botanical Garden and the Cincinnati Museum Center",Youngstown,Affordable housing and cost of living;Historical significance and cultural scene;Close to Pennsylvania for easy access to additional amenities
58,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Columbus,"Strong job market, particularly in tech and education;High quality of life, ranked #11 in the U.S.;Affordable cost of living, with a median home price of $150,000",Dayton,"Rich in history and culture, with a low cost of living and affordable housing;Home to many large corporations and research institutions, providing ample job opportunities",Cincinnati,"Diverse and vibrant city with a thriving arts scene, excellent food, and a vibrant nightlife;Affordable housing and a reasonable cost of living, with a median home price of $110,000",Akron,"Home to the Goodyear blimp and the AkronOH startup community, offering unique job opportunities;Historical and cultural attractions and a strong sense of community, with a median home price of $90,000",Toledo,"Ideally located near Lake Erie, offering outdoor recreation and a diverse economy;Affordable housing and a low cost of living, with a median home price of $70,000"
59,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Columbus,"4th largest city in Ohio with a diverse job market;Home to Ohio State University, offering many cultural and academic opportunities;Hosts numerous festivals and events throughout the year",Dayton,Lower cost of living compared to other cities in Ohio;Strong manufacturing industry and steady job growth;Cultural attractions such as the Dayton Museum of Natural History and the Dayton Art Institute,Cincinnati,"Most populated city in Ohio with numerous employment opportunities in various sectors;Rich in history with various museums and historical attractions;Home to Major League Baseball's Cincinnati Reds and professional football team, the Cincinnati Bengals",Toledo,"Easy access to Lake Erie for water activities andhleeding beaches;Lower cost of living while still offering city amenities;Numerous parks and recreational activities, including the Toledo Zoo and The Toledo Museum of Art",Middletown,Affordable housing options and a reasonable cost of living;Proximity to Dayton and Columbus offers easy access to larger city amenities;Historic downtown with a vibrant arts and culture scene
60,mistral,relocation,We are planning to move to Ohio. We are looking for an affordable area.,Cincinnati,Growing arts scene;Affordable housing;Diverse cultural experiences,Columbus,Central location;Strong job market;Abundant recreational activities,Dayton,Historical significance;Quality education;Balanced cost of living,Toledo,Closure to Lake Erie;Historical importance;Affordable housing,Youngstown,Affordable cost of living;Historical significance;Growing urban revitalization
61,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Marquette,Quality of life;Beaches and water activities;Low crime rate;Rich history and culture,Houghton,"Gorgeous natural surroundings, Outdoor recreation options;Home to Michigan Technological University;Strong sense of community;Historic Copper Harbor district",Escanaba,Affordable living;Located along beautiful Lake Michigan;Friendly community;Thriving small businesses,Manistique,"Natural beauty, Outdoor recreation;Calm and peaceful;Low cost of living;Safety and security",St. Ignace,Water activities; Views of the Mackinac Bridge;Diverse tourism;Relaxed pace of life
62,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Petoskey,Charming downtown;Beautiful beaches;Year-round recreational activities,Charlevoix,Historic architecture;Art galleries and museums;Easy access to Lake Michigan,Frankfort,"P picturesque coastline;Fishing and boating opportunities;Quiet, peaceful atmosphere",Traverse City,Thriving food scene;Wine tasting rooms;Variety of cultural events,Escanaba,Small-town feel;Nature trails and parks;Affordable housing
63,mistral,relocation,We are looking to move to MI. We are looking for a place with a small population.,Houghton,"Small population (4,300);Home to Michigan Technological University;Outdoor recreation opportunities",Copper Harbor,Small population (96);Gateway to Isle Royale National Park;Scenic location on Lake Superior,Escanaba,"Small population (12,600);Access to Lake Michigan;Historic downtown area",Munising,"Small population (2,200);Near Pictured Rocks National Lakeshore;Quiet, peaceful atmosphere",Seney,"Small population (400);Gateway to Seney National Wildlife Refuge;Remote, wilderness setting"
